users,precision,recall,mape,commonResto
DNlzbI54zCOa4to-vTWBJQ,0.0,0.0,1.0,0
ehzvSXsijzgxsYHvXeaS-Q,0.03,0.21428571428571427,0.7857142857142857,3
mZ1gXzL6Tn5Oky8_j0Kp7g,0.0,0.0,1.0,0
TJpPDsFGNm_MfO6Z3nqfDA,0.0,0.0,NaN,0
XV6EkCsNwzzDbTOwSutsTg,0.02,0.08333333333333333,0.9166666666666666,2
UXpTrzITc0yg08sXftsa-w,0.01,0.07142857142857142,0.9285714285714286,1
WrhnuLDFmyu_bB-FLP_gsA,0.02,0.08695652173913043,0.9130434782608695,2
A-IkCqnYosZa49XD9qiSww,0.0,0.0,1.0,0
e3zojPmUy-2vW48PWn7Fpw,0.0,0.0,1.0,0
hFy3pG3uBnWbzYk79nntVQ,0.0,0.0,1.0,0
XXxrsJ3KpTFybcBFpZLYiQ,0.01,0.2,0.8,1
myrcQ3h2G04Gv-ANG_oqrg,0.0,0.0,NaN,0
lMNbGAn2HmHypSJpUsqFNw,0.01,0.2,0.8,1
j6Kv_wLQzZMWobLIyijX3A,0.0,0.0,NaN,0
zh7csWc3GAUksnShzGp-WQ,0.0,0.0,NaN,0
0J9mtVJ4_QGsXYVK8qJzOQ,0.04,0.21052631578947367,0.7894736842105263,4
LPxx7_13EO7O_ZvLqEds0Q,0.0,0.0,1.0,0
pJYRi9MB06aiuL-w8Ms-Og,0.02,0.2222222222222222,0.7777777777777778,2
YDAL4CBJcp3xrYgAGVGgaQ,0.01,0.3333333333333333,0.6666666666666666,1
V5k7_bxn26hZrZHbAJQp8Q,0.02,0.5,0.5,2
Iu55D7RAAW8TACA3lN0w8Q,0.0,0.0,1.0,0
bQxs2JWnnXIJU5bkxCovNw,0.0,0.0,1.0,0
EiT_pSuIb08oRn4CfwfMJg,0.01,0.07142857142857142,0.9285714285714286,1
_iBliY4plQYZjHj8FCMvjA,0.0,0.0,1.0,0
wBFcKQVAInFxxLydXd_U8Q,0.0,0.0,NaN,0
bTpNQ9u8zcphG9rOy750sg,0.0,0.0,1.0,0
6btMczuTVuoJnmarbkWP_A,0.03,0.25,0.75,3
6t4RkHusn2QxXZjM81U_Tw,0.01,0.05555555555555555,0.9444444444444444,1
XbiKsujS_qxU3xsr0xUqmQ,0.07,0.08860759493670886,0.9113924050632911,7
UkwuYrzwLXI_QidhVzUkgg,0.0,0.0,NaN,0
o5hk57cqhWnV1sULPvq1jw,0.01,1.0,0.0,1
tmdcGp6m6-pHjBJ0pBemrw,0.01,0.16666666666666666,0.8333333333333334,1
tRmW0n2d_Q4c_TXqfUSINA,0.0,0.0,NaN,0
GdOftL3cyuc7Ir89iIzSvQ,0.0,0.0,1.0,0
mjH-h9O2ZkMiYR9EOkDB_g,0.03,0.1875,0.8125,3
7hAhYoMPjHnxKCz6MQ95Bg,0.03,0.21428571428571427,0.7857142857142857,3
IbwI369hSb9lkdWPeAYmgw,0.0,0.0,1.0,0
SUnyBS7HB3Nv_C78ygbpnQ,0.02,0.125,0.875,2
U1fqtN3FXMPHNafXq4C9nA,0.02,0.2222222222222222,0.7777777777777778,2
npL9RrkAslHCf5JURxhl7w,0.02,0.2,0.8,2
KG0xHGP6ozKJg254UYgPDg,0.0,0.0,NaN,0
Ip7GdJmVv1Ju0fsol7y5mQ,0.0,0.0,NaN,0
saehzVQ7qhtc1v4bQdQ8Wg,0.0,0.0,1.0,0
t-0_us3OTzs_ZhKy6fcamg,0.01,0.06666666666666667,0.9333333333333333,1
axNHjLGaj_aFtx-yS0q_Dg,0.0,0.0,NaN,0
oDtyajyLhV6iG8aBSwlQVg,0.01,0.25,0.75,1
-d2daWmftYumOaYpbD5D8Q,0.03,0.17647058823529413,0.8235294117647058,3
D8iGf2Sf9NrNw62wptur5A,0.0,0.0,1.0,0
2AxoUMKy4fM-WikXbIPcmA,0.0,0.0,NaN,0
8P2LkzPGV4ID_fE7gJGKGg,0.02,0.08695652173913043,0.9130434782608695,2
VK2TcRhK1vboobxmETDm5A,0.0,0.0,1.0,0
mj22XHVEWOe-mRh7GFuD9Q,0.01,0.2,0.8,1
ymI50mq1Vcf-J6GTtXTnQw,0.0,0.0,NaN,0
x0cMhVpUcYYHoLdrWSNIMg,0.03,1.0,0.0,3
k34ZlKQwy_ybVlYzeoBlbA,0.0,0.0,1.0,0
xYciRtVZ1PW4IxSX4oJ1aw,0.0,0.0,1.0,0
mzViENEM0MKHmIw0Mjo58Q,0.0,0.0,NaN,0
FYAkhIj29gyWD_Lte1v7SQ,0.0,0.0,1.0,0
ZoejY7GfNKHK0P1OVWQ07A,0.0,0.0,NaN,0
JLv2Dmfj73-I0d9N41tz1A,0.03,0.2,0.8,3
HAv4iHgSyMS4HKwl5hb98w,0.0,0.0,NaN,0
Qku2_2s2rXOj5BxkuHp0EA,0.02,0.07407407407407407,0.9259259259259259,2
esJ5E0pfjQ0UhSDVaix6Pg,0.0,0.0,NaN,0
0_iROv6FL4KCveV916IpTA,0.02,0.6666666666666666,0.3333333333333333,2
p8Pjhqm4dopSUdnMN5_6Uw,0.0,0.0,1.0,0
9WjF9IKOYhBWQGW5RR5Spw,0.0,0.0,1.0,0
TYj0omarAZbxpVggjkreGw,0.0,0.0,1.0,0
UoNEitmZyw8uw_MXDLjo9w,0.01,0.16666666666666666,0.8333333333333334,1
JInn7zPqOxhea4l8PUsBPA,0.05,0.3125,0.6875,5
k0hZPaZjS1y8A-gxGjWsQQ,0.0,0.0,NaN,0
5Sn9uNj5aXS9zfaY9s8y1A,0.02,0.4,0.6,2
PTcKYk_qU-WzbQjraE3TgQ,0.03,0.375,0.625,3
AghKXr53xNvKjh_A5Ur1GQ,0.0,0.0,1.0,0
7_RaCe5zzPBYWm9znlffUA,0.01,0.043478260869565216,0.9565217391304348,1
jz1_R_ilTsC-Kqc04oa3IA,0.0,0.0,1.0,0
eOTzkS-by4pVwwCVrifmqg,0.0,0.0,1.0,0
tHWq61FmO0Vrd4qStq3g8Q,0.01,0.1111111111111111,0.8888888888888888,1
OZWskTOKCWvYejhu63gFmQ,0.0,0.0,1.0,0
hTZb1INhnCG8URaFywVoYQ,0.02,0.06451612903225806,0.9354838709677419,2
veqfgg2AkKs_L70fx1Quag,0.01,0.14285714285714285,0.8571428571428571,1
JndpB8cHO8py4bbB8uCV3w,0.04,0.3076923076923077,0.6923076923076923,4
TpyOT5E16YASd7EWjLQlrw,0.0,0.0,1.0,0
0uNxhZAFbkalQImzJ6UDUA,0.02,0.06451612903225806,0.9354838709677419,2
gSLQ-2A7b_d1JmXzN5jFzw,0.0,0.0,1.0,0
Dh4HFUiw9Ip5wFQM_kEbbw,0.0,0.0,NaN,0
4pmNxufbrzc5u8MwNdRyuw,0.0,0.0,NaN,0
2Z0Ey157Bkny4qk5qdLyHQ,0.0,0.0,1.0,0
pZsVUkMb4yGMGoTRzNS7Ew,0.0,0.0,NaN,0
MbBhClrXyu8-Mk5wW5y8tg,0.0,0.0,NaN,0
uHZr3XbjKvRTwdXLXrFuvg,0.01,0.3333333333333333,0.6666666666666666,1
qCYSdhsOzHBKT-V72BiYNA,0.01,0.1,0.9,1
1Ap_OW4nUq5njHTCFJxspg,0.03,0.375,0.625,3
79-Jme5Z9rQMzM_rTZlNvw,0.0,0.0,NaN,0
j6wLUT0ZXi-x0otelYIFpA,0.01,0.16666666666666666,0.8333333333333334,1
UGnUriMZaAzzyu5KT8viKg,0.02,0.16666666666666666,0.8333333333333334,2
8zXgNCkusOHMwh5Tj_8yCQ,0.0,0.0,NaN,0
-3Kq9ssSot4QizbPYO6ZQQ,0.0,0.0,NaN,0
Fsl7fnXttgugpoyuCJ0zkg,0.06,0.17142857142857143,0.8285714285714286,6
zIAql6Ztx6xsG5cBLpDiJA,0.0,0.0,1.0,0
aIg29snwGTFBzkV7HtDHfg,0.0,0.0,1.0,0
--Qh8yKWAvIP4V4K8ZPfHA,0.01,0.08333333333333333,0.9166666666666666,1
HFItzRohDHZvcKDrM6ABZg,0.0,0.0,NaN,0
jqFdVLWIAuZ4olXcDAkXkQ,0.0,0.0,1.0,0
X-VOe5bzT9EJu_L_Bt0nLQ,0.02,0.1,0.9,2
_JpQ84FfRPG0TTw_T0zR_A,0.0,0.0,1.0,0
AxyQGSEnCh04H2_wSLrTtg,0.0,0.0,1.0,0
U28XN1IGtjsQL2DUxr7FKg,0.04,0.18181818181818182,0.8181818181818182,4
bg9FRc71Daub48GmIKfX_A,0.01,0.2,0.8,1
Jn8louhYd-BA7m9AqdRciA,0.0,0.0,1.0,0
WkSTxTkTfFC9G3uo6m3H5Q,0.01,0.1111111111111111,0.8888888888888888,1
yJaaQqzlcIdRIJD5w1lJag,0.0,0.0,1.0,0
fiz9Y2dagXIEq0w8FGOGnQ,0.03,0.2,0.8,3
n2WdvOLYvMHQJxPD8rpZYg,0.01,0.16666666666666666,0.8333333333333334,1
69y7eZP22sPr6fJ_fxGB9g,0.01,0.25,0.75,1
BNKWo55_3v5WNUgj-hsDZg,0.0,0.0,NaN,0
yrhB_rQyrmSQ8WFSHxzaEQ,0.03,0.3333333333333333,0.6666666666666666,3
Y598FH7fNMq45DkVSbN0DA,0.03,0.15,0.85,3
H4ECp8d_jYLGHsPCgD5ltw,0.0,0.0,1.0,0
aomkMAGFrL-gD6cqQjB4bw,0.0,0.0,1.0,0
YOOsYiXGEtGFX_wSeZNcww,0.01,0.1,0.9,1
JqY7eDmwwtjSYJaUqv0Izg,0.01,0.125,0.875,1
WzNDoQ3Th4eqj_SOkR7zIQ,0.04,0.2222222222222222,0.7777777777777778,4
HkJ1p-QlRx6FJztgjr4Vnw,0.05,0.11904761904761904,0.8809523809523809,5
EdDmKiz6V89g6Dws9I4AKA,0.0,0.0,1.0,0
YQxd76rE_mCi1ii361GDNw,0.03,0.23076923076923078,0.7692307692307693,3
Hci2c0qo98CO-Pv-VmV7gg,0.01,0.06666666666666667,0.9333333333333333,1
bCLqNCdhUdsmTj9Braespg,0.01,0.3333333333333333,0.6666666666666666,1
FlroRLQ6hWhRApL9tWSO5A,0.0,0.0,NaN,0
ay1vHGcKovq8tBeTvqJ38w,0.0,0.0,1.0,0
bIXj8nZWd9f3vEHzPUJ4lg,0.0,0.0,NaN,0
Wu0yySWcHQ5tZ_59HNiamg,0.0,0.0,1.0,0
56_DKQpK4tT0rWLt4-DZOQ,0.03,0.375,0.625,3
2qP4V0sCtYSQg95ZfUlmNw,0.0,0.0,NaN,0
bz3Reh0S84qJjAAB_hpl3A,0.0,0.0,1.0,0
F_SLKO6rcypQbbZEm-yRRQ,0.0,0.0,NaN,0
VMKn920nDRBFNwp-IUE5VA,0.0,0.0,1.0,0
mH8UvY1RjUTjfKejkIxPzA,0.0,0.0,NaN,0
66R-1FGOg7SoJLtkSXVfuQ,0.0,0.0,1.0,0
VI3WYpyaWGj-jtz3CkMP2Q,0.01,0.2,0.8,1
FSzxEJHeDjEB6Lsotqc1Qg,0.0,0.0,NaN,0
oPVY6-CJt2EI335lKWwxmg,0.02,0.2,0.8,2
gXQfe8T1UvMpmR5rcWpGWw,0.0,0.0,NaN,0
AOmYtTcKe0NHtTgX9nbGSg,0.01,0.3333333333333333,0.6666666666666666,1
ZRwZ3xFwtlRu1p4ydvca4g,0.0,0.0,NaN,0
lARJ4ih-0IVq1hvwhhiyuA,0.0,0.0,1.0,0
pR0DlDaMaMHsBM9P6otqkw,0.01,0.16666666666666666,0.8333333333333334,1
Z09rco1enQXNCd9H0u7kvg,0.03,0.08333333333333333,0.9166666666666666,3
o4fX4RPaovJfle7ubAD_tw,0.06,0.2608695652173913,0.7391304347826086,6
rS6v4WRa2gc36vVZN-BdCw,0.0,0.0,NaN,0
fkdrvWbTnW3NSaAQDQ7m9w,0.02,0.07407407407407407,0.9259259259259259,2
P7EV3yrn1PLHDBX6rF6qIg,0.0,0.0,NaN,0
OLR17R3IDhFEUXoiuT_9fQ,0.0,0.0,1.0,0
5gYF8vCPu6bs7kJ4dIB-9A,0.0,0.0,NaN,0
Ao-6FYE29-I8WwPg67806A,0.03,0.08823529411764706,0.9117647058823529,3
tX4d5ktzse4TPxNOds4VCw,0.0,0.0,NaN,0
NCBwH9Xx3zNFmH5rk2M_FA,0.0,0.0,1.0,0
1ickSuyOWWKWdQpauKmkEw,0.04,0.2222222222222222,0.7777777777777778,4
rp10AQdPM9MIxNzxj6SOZw,0.0,0.0,NaN,0
GPASJQMtRKQ5kxlXK29UjQ,0.0,0.0,1.0,0
YuiHy5G_2y_GB3_iHeJToQ,0.0,0.0,1.0,0
gMfkWTxRVZtJAMm_adQKsQ,0.0,0.0,NaN,0
CwkEpm0lCai2cJZIp_MMiQ,0.02,0.07407407407407407,0.9259259259259259,2
aLvxbF2DueKFOqul9eVWCw,0.0,0.0,1.0,0
zbSBmoujGgIPuNWQcny14g,0.0,0.0,1.0,0
XuCbLgo9j1q5dDh9251vkg,0.0,0.0,NaN,0
WgaycWkFXshvGtct42d_-w,0.0,0.0,NaN,0
GXVEhnIM1CpiGj9TZehxGw,0.02,0.11764705882352941,0.8823529411764706,2
lhyNuR1HIZ0Ym7A0ydLzmA,0.0,0.0,NaN,0
74goFJSWzAwmk69XfPqEag,0.0,0.0,NaN,0
DoUEOgllx0VTLCn5uyciOA,0.0,0.0,NaN,0
YRcaNlwQ6XXPFDXWtuMGdA,0.0,0.0,1.0,0
0xRAAStEi_dBFLD-1xSMHQ,0.01,0.1111111111111111,0.8888888888888888,1
y3MNMa0SG_cHC1cwmmntpQ,0.0,0.0,NaN,0
_9WN_qmjbbRu6eFCMVXokw,0.01,0.16666666666666666,0.8333333333333334,1
H3tbSSoX5FbCyKxl4Fu6gA,0.0,0.0,1.0,0
D-vYE3HILl7Qk1UhYqZXYQ,0.0,0.0,1.0,0
1l4xyCisqnaDQzLnPDS0yA,0.0,0.0,1.0,0
sWKaLjpYG6VABf23CXDhyA,0.02,0.1111111111111111,0.8888888888888888,2
oZyiiNdA-I5zk_EHUmGRMQ,0.0,0.0,NaN,0
OLFjrEeRX9xVESXUqFzmkA,0.0,0.0,NaN,0
aU8saUu9QhSFvnYeUsxO-A,0.0,0.0,NaN,0
k7tSOhkjxuJ1EMkeaBbXyA,0.0,0.0,NaN,0
LaO4FZ2yPbqRjlv6QoaUJQ,0.0,0.0,NaN,0
mI4JiIhxbL_oNC6Dkd7pZg,0.03,0.2,0.8,3
sEgDGPj3qKwxE-E1S2MX6g,0.0,0.0,1.0,0
MbC0xPzIdGkFMCpPb8yWDA,0.0,0.0,NaN,0
PGx4HvY5joEeqXzam6tO7A,0.04,0.14814814814814814,0.8518518518518519,4
uEEcEP_48tYFq7PabMBP5g,0.0,0.0,NaN,0
hre0l9gB19w6cIbapFbFgA,0.0,0.0,NaN,0
Xwnf20FKuikiHcSpcEbpKQ,0.0,0.0,NaN,0
HWIDUXNyTiWFYZBXnXHlJQ,0.0,0.0,NaN,0
DFzs85LXiL3xNfzuaFAEOQ,0.0,0.0,NaN,0
Qx8WMsFNHBfx6rIH_G0nBw,0.0,0.0,NaN,0
4PPHan2Iq6hhgXuMdraYhA,0.0,0.0,1.0,0
jkVaPj3MIS69-OcfX0c_CQ,0.0,0.0,1.0,0
TUy0cc8WDC-iZTYt_pJ7bQ,0.0,0.0,NaN,0
VnKj044Tt5doqaVDIJbWsw,0.0,0.0,NaN,0
jdYjyxjoxjnKoStcIhXKpQ,0.01,0.125,0.875,1
Mfypzn4xVySfWW_hb0pyaA,0.0,0.0,1.0,0
fxEoLJp5wTyw2sc5dmktrA,0.01,0.16666666666666666,0.8333333333333334,1
2Rw4bXIrKd94be-BXMzoyw,0.03,0.21428571428571427,0.7857142857142857,3
0uacsMYppmm3Kl1bpWIOxQ,0.02,0.11764705882352941,0.8823529411764706,2
8qY0rSk-AUtCAl8th4ru2A,0.0,0.0,1.0,0
YgC5A_oMsF4n7zOcSJ55tA,0.0,0.0,1.0,0
XfQloz-i6NywnjZl0OIzwA,0.01,0.14285714285714285,0.8571428571428571,1
vQ5TMhkJHt8Wt8A1kDAzbg,0.04,0.2857142857142857,0.7142857142857143,4
TZelLnaGbHgaG7LBI6rfgg,0.0,0.0,NaN,0
j1v4hTEcb9Nnm5aQhlJ3OQ,0.0,0.0,1.0,0
FWDwuX8k8dwUICg8EG9dUQ,0.03,0.15,0.85,3
C3aIEUOx-vrHAeGVDnMAjg,0.0,0.0,1.0,0
BOijsp9rwVGS4ScmOMf9bg,0.0,0.0,1.0,0
oqOd-BdSCHGirleO3UwLjA,0.0,0.0,1.0,0
73-0YwihQK87y7oH_pO_1w,0.03,0.17647058823529413,0.8235294117647058,3
Bg9UeLdxCMJpQWu9fvYTJA,0.0,0.0,NaN,0
pn_flI3EBNugBEYFp9okxQ,0.03,0.10714285714285714,0.8928571428571429,3
lJzgOpVS1pmb2UW7j2GkDg,0.0,0.0,NaN,0
UMVPoZ5YYewEmVZLBPpXSg,0.02,0.11764705882352941,0.8823529411764706,2
27Q8zHOTOTz-w6HB2sk3oA,0.01,0.1,0.9,1
wky4BZxCELi4PZcvb11qYQ,0.01,0.07692307692307693,0.9230769230769231,1
hYnq9-wO-RzmiTTGMCNJgA,0.0,0.0,NaN,0
yL60onlTh1BmJKVLli_K3g,0.07,0.3684210526315789,0.631578947368421,7
Kh0cFp8G0CPAtyphCKxkiw,0.01,0.5,0.5,1
U-Jeag9UdHNNGOkA7VkWCg,0.03,0.23076923076923078,0.7692307692307693,3
PRJMe-RgFnCEhyy7tf3DmQ,0.02,0.08695652173913043,0.9130434782608695,2
SuOLY03LW5ZcnynKhbTydA,0.03,0.5,0.5,3
4WoAauE_v-vwMuQ665rMyA,0.02,0.125,0.875,2
gbWMEA_d0EBlBeLqyGvPng,0.09,0.34615384615384615,0.6538461538461539,9
Ydv1CUhVtIaBFmVf_rmuyg,0.0,0.0,NaN,0
1LpChUg-0EqRKRKzL4ogYA,0.0,0.0,1.0,0
7WMbeIW3DTQE1HTYy3Gm8A,0.0,0.0,1.0,0
zhS9cyzz2XwJADcikGsc9Q,0.07,0.35,0.65,7
dIUgat-6igSF6hfhYWyhgw,0.02,0.4,0.6,2
2oMkzQcRL7-d7URt3Xo_Xg,0.0,0.0,1.0,0
e0AUdCu-jeOkLImiEzlTDg,0.03,0.16666666666666666,0.8333333333333334,3
JXfXkpQHldAYosTJ7EO4EQ,0.01,0.5,0.5,1
